id	dir_name	name	kingdom	phylum	genus	tax2	num_L	num_M	num_S	num_M_zero	num_M_fs	num_M_plus	num_M_minus	num_chlH	num_chlD	num_chlI	num_bchH	num_bchD	num_bchI	num_cobN	num_cobT	num_cobS	num_chlD_fs	num_bchD_fs	num_cobT_fs
5212	Actinoplanes_philippinensis	Actinoplanes philippinensis	Bacteria	Actinobacteria	Actinoplanes	Micromonosporales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
3219	Actinoplanes_rectilineatus	Actinoplanes rectilineatus	Bacteria	Actinobacteria	Actinoplanes	Micromonosporales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
5692	Actinoplanes_regularis	Actinoplanes regularis	Bacteria	Actinobacteria	Actinoplanes	Micromonosporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3041	Actinoplanes_utahensis	Actinoplanes utahensis	Bacteria	Actinobacteria	Actinoplanes	Micromonosporales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
1671	Actinopolyspora_halophila_DSM_43834	Actinopolyspora halophila DSM 43834	Bacteria	Actinobacteria	Actinopolyspora	Actinopolysporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1854	Actinopolyspora_mortivallis_DSM_44261	Actinopolyspora mortivallis DSM 44261	Bacteria	Actinobacteria	Actinopolyspora	Actinopolysporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
5324	Actinopolyspora_righensis	Actinopolyspora righensis	Bacteria	Actinobacteria	Actinopolyspora	Actinopolysporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
4962	Actinopolyspora_xinjiangensis	Actinopolyspora xinjiangensis	Bacteria	Actinobacteria	Actinopolyspora	Actinopolysporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2347	Actinospica_robiniae_DSM_44927	Actinospica robiniae DSM 44927	Bacteria	Actinobacteria	Actinospica	Catenulisporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
450	Actinosynnema_mirum_DSM_43827	Actinosynnema mirum DSM 43827	Bacteria	Actinobacteria	Actinosynnema	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
5590	Aeromicrobium_choanae	Aeromicrobium choanae	Bacteria	Actinobacteria	Aeromicrobium	Propionibacteriales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3809	Aeromicrobium_erythreum	Aeromicrobium erythreum	Bacteria	Actinobacteria	Aeromicrobium	Propionibacteriales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1453	Aeromicrobium_massiliense_JC14	Aeromicrobium massiliense JC14	Bacteria	Actinobacteria	Aeromicrobium	Propionibacteriales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1960	Aestuariimicrobium_kwangyangense_DSM_21549	Aestuariimicrobium kwangyangense DSM 21549	Bacteria	Actinobacteria	Aestuariimicrobium	Propionibacteriales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3436	Aestuariivita_atlantica	Aestuariivita atlantica	Bacteria	Proteobacteria	Aestuariivita	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
3446	Aestuariivita_boseongensis	Aestuariivita boseongensis	Bacteria	Proteobacteria	Aestuariivita	Alphaproteobacteria	1	2	2	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
4907	Afifella_marina_DSM_2698	Afifella marina DSM 2698	Bacteria	Proteobacteria	Afifella	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
2653	Afifella_pfennigii_DSM_17143	Afifella pfennigii DSM 17143	Bacteria	Proteobacteria	Afifella	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
1385	Agrobacterium_albertimagni_AOL15	Agrobacterium albertimagni AOL15	Bacteria	Proteobacteria	Agrobacterium	Alphaproteobacteria	2	3	2	3	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0
5021	Aidingimonas_halophila	Aidingimonas halophila	Bacteria	Proteobacteria	Aidingimonas	Gammaproteobacteria	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
5230	Albimonas_pacifica	Albimonas pacifica	Bacteria	Proteobacteria	Albimonas	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
4266	Algibacter_aquaticus	Algibacter aquaticus	Bacteria	Bacteroidetes	Algibacter	Flavobacteriia	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3193	Aliterella_atlantica_CENA595	Aliterella atlantica CENA595	Bacteria	Cyanobacteria	Aliterella	Chroococcidiopsidales	3	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0
361	Alkaliphilus_oremlandii_OhILAs	Alkaliphilus oremlandii OhILAs	Bacteria	Firmicutes	Alkaliphilus	Clostridia	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
513	Allochromatium_vinosum_DSM_180	Allochromatium vinosum DSM 180	Bacteria	Proteobacteria	Allochromatium	Gammaproteobacteria	1	2	1	2	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0
5030	Allochromatium_warmingii	Allochromatium warmingii	Bacteria	Proteobacteria	Allochromatium	Gammaproteobacteria	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
4942	Allokutzneria_albata	Allokutzneria albata	Bacteria	Actinobacteria	Allokutzneria	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
4157	Altererythrobacter_ishigakiensis	Altererythrobacter ishigakiensis	Bacteria	Proteobacteria	Altererythrobacter	Alphaproteobacteria	1	2	2	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
3501	Amantichitinum_ursilacus	Amantichitinum ursilacus	Bacteria	Proteobacteria	Amantichitinum	Betaproteobacteria	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0
489	Ammonifex_degensii_KC4	Ammonifex degensii KC4	Bacteria	Firmicutes	Ammonifex	Clostridia	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
5335	Amycolatopsis_australiensis	Amycolatopsis australiensis	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
1861	Amycolatopsis_balhimycina_FH_1894	Amycolatopsis balhimycina FH 1894	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
1851	Amycolatopsis_benzoatilytica_AK_16_65	Amycolatopsis benzoatilytica AK 16/65	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	3	1	3	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0
2346	Amycolatopsis_halophila_YIM_93223	Amycolatopsis halophila YIM 93223	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2812	Amycolatopsis_japonica	Amycolatopsis japonica	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	3	2	3	0	0	0	0	2	0	0	0	0	1	1	2	0	0	0
2755	Amycolatopsis_jejuensis	Amycolatopsis jejuensis	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	3	1	3	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0
5168	Amycolatopsis_marina	Amycolatopsis marina	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	3	1	3	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0
963	Amycolatopsis_mediterranei_U32	Amycolatopsis mediterranei U32	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
2843	Amycolatopsis_methanolica_239	Amycolatopsis methanolica 239	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
1862	Amycolatopsis_nigrescens_CSC17Ta_90	Amycolatopsis nigrescens CSC17Ta-90	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	1	2	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0
5284	Amycolatopsis_rubida	Amycolatopsis rubida	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	3	1	3	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0
5119	Amycolatopsis_saalfeldensis	Amycolatopsis saalfeldensis	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	1	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0
5239	Amycolatopsis_sacchari	Amycolatopsis sacchari	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
5027	Amycolatopsis_xylanica	Amycolatopsis xylanica	Bacteria	Actinobacteria	Amycolatopsis	Pseudonocardiales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
1501	Anabaena_cylindrica_PCC_7122	Anabaena cylindrica PCC 7122	Bacteria	Cyanobacteria	Anabaena	Nostocales	3	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0
3395	Anaerolinea_thermolimosa	Anaerolinea thermolimosa	Bacteria	Chloroflexi	Anaerolinea	Anaerolineae	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0
968	Anaerolinea_thermophila_UNI_1	Anaerolinea thermophila UNI-1	Bacteria	Chloroflexi	Anaerolinea	Anaerolineae	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0
2743	Anditalea_andensis	Anditalea andensis	Bacteria	Bacteroidetes	Anditalea	Cytophagia	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2729	Andreprevotia_chitinilytica_DSM_18519	Andreprevotia chitinilytica DSM 18519	Bacteria	Proteobacteria	Andreprevotia	Betaproteobacteria	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2420	Aphanizomenon_flos_aquae_NIES_81	Aphanizomenon flos-aquae NIES-81	Bacteria	Cyanobacteria	Aphanizomenon	Nostocales	3	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0
3580	Aquimarina_longa_SW024	Aquimarina longa SW024	Bacteria	Bacteroidetes	Aquimarina	Flavobacteriia	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2419	Aquimarina_macrocephali_JAMB_N27	Aquimarina macrocephali JAMB N27	Bacteria	Bacteroidetes	Aquimarina	Flavobacteriia	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
2199	Aquimarina_muelleri_DSM_19832	Aquimarina muelleri DSM 19832	Bacteria	Bacteroidetes	Aquimarina	Flavobacteriia	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3816	Aquitalea_pelogenes	Aquitalea pelogenes	Bacteria	Proteobacteria	Aquitalea	Betaproteobacteria	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
508	Archaeoglobus_profundus_DSM_5631	Archaeoglobus profundus DSM 5631	Archaea	Euryarchaeota	Archaeoglobus	Archaeoglobi	1	2	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
922	Archaeoglobus_veneficus_SNP6	Archaeoglobus veneficus SNP6	Archaea	Euryarchaeota	Archaeoglobus	Archaeoglobi	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
2089	Arsenicicoccus_bolidensis_DSM_15745	Arsenicicoccus bolidensis DSM 15745	Bacteria	Actinobacteria	Arsenicicoccus	Micrococcales	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
991	Arthrospira_platensis_NIES_39	Arthrospira platensis NIES-39	Bacteria	Cyanobacteria	Arthrospira	Oscillatoriophycideae	2	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0
5041	Asanoa_ishikariensis	Asanoa ishikariensis	Bacteria	Actinobacteria	Asanoa	Micromonosporales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1363	Austwickia_chelonae_NBRC_105200	Austwickia chelonae NBRC 105200	Bacteria	Actinobacteria	Austwickia	Micrococcales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
3091	Azotobacter_chroococcum_NCIMB_8003	Azotobacter chroococcum NCIMB 8003	Bacteria	Proteobacteria	Azotobacter	Gammaproteobacteria	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0
5036	Bacillus_caseinilyticus	Bacillus caseinilyticus	Bacteria	Firmicutes	Bacillus	Bacilli	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
3619	Bacillus_solani	Bacillus solani	Bacteria	Firmicutes	Bacillus	Bacilli	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
3525	Bellilinea_caldifistulae	Bellilinea caldifistulae	Bacteria	Chloroflexi	Bellilinea	Anaerolineae	0	1	2	0	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0
2910	Belnapia_moabensis_DSM_16746	Belnapia moabensis DSM 16746	Bacteria	Proteobacteria	Belnapia	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
4955	Belnapia_rosea	Belnapia rosea	Bacteria	Proteobacteria	Belnapia	Alphaproteobacteria	1	2	2	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
2683	Bilophila_wadsworthia_ATCC_49260	Bilophila wadsworthia ATCC 49260	Bacteria	Proteobacteria	Bilophila	Deltaproteobacteria	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
3581	Blastochloris_viridis	Blastochloris viridis	Bacteria	Proteobacteria	Blastochloris	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
5118	Blastococcus_endophyticus	Blastococcus endophyticus	Bacteria	Actinobacteria	Blastococcus	Geodermatophilales	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1310	Blastococcus_saxobsidens_DD2	Blastococcus saxobsidens DD2	Bacteria	Actinobacteria	Blastococcus	Geodermatophilales	1	2	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
1619	Bradyrhizobium_oligotrophicum_S58	Bradyrhizobium oligotrophicum S58	Bacteria	Proteobacteria	Bradyrhizobium	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
5684	Brevefilum_fermentans	Brevefilum fermentans	Bacteria	Chloroflexi	Brevefilum	Anaerolineae	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0
2676	Brevundimonas_bacteroides_DSM_4726	Brevundimonas bacteroides DSM 4726	Bacteria	Proteobacteria	Brevundimonas	Alphaproteobacteria	1	2	2	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
613	Brevundimonas_subvibrioides_ATCC_15264	Brevundimonas subvibrioides ATCC 15264	Bacteria	Proteobacteria	Brevundimonas	Alphaproteobacteria	1	2	2	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
3598	Burkholderia_cepacia_ATCC_25416	Burkholderia cepacia ATCC 25416	Bacteria	Proteobacteria	Burkholderia	Betaproteobacteria	1	3	1	2	1	0	1	0	1	0	0	0	0	1	2	1	1	0	0
3215	Burkholderia_gladioli	Burkholderia gladioli	Bacteria	Proteobacteria	Burkholderia	Betaproteobacteria	1	2	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0
205	Burkholderia_pseudomallei_K96243	Burkholderia pseudomallei K96243	Bacteria	Proteobacteria	Burkholderia	Betaproteobacteria	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0
3214	Burkholderia_ubonensis_MSMB22	Burkholderia ubonensis MSMB22	Bacteria	Proteobacteria	Burkholderia	Betaproteobacteria	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0
3849	Caballeronia_concitans	Caballeronia concitans	Bacteria	Proteobacteria	Caballeronia	Betaproteobacteria	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0
2669	Caballeronia_glathei	Caballeronia glathei	Bacteria	Proteobacteria	Caballeronia	Betaproteobacteria	1	2	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0
3850	Caballeronia_glebae	Caballeronia glebae	Bacteria	Proteobacteria	Caballeronia	Betaproteobacteria	1	2	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0
3848	Caballeronia_telluris	Caballeronia telluris	Bacteria	Proteobacteria	Caballeronia	Betaproteobacteria	1	2	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0
2668	Caballeronia_zhejiangensis	Caballeronia zhejiangensis	Bacteria	Proteobacteria	Caballeronia	Betaproteobacteria	1	2	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	0	0
1485	Caenispirillum_salinarum_AK4	Caenispirillum salinarum AK4	Bacteria	Proteobacteria	Caenispirillum	Alphaproteobacteria	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
5477	Caldanaerovirga_acetigignens	Caldanaerovirga acetigignens	Bacteria	Firmicutes	Caldanaerovirga	Clostridia	0	2	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
4678	Calderihabitans_maritimus	Calderihabitans maritimus	Bacteria	Firmicutes	Calderihabitans	Clostridia	3	1	1	1	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0
1303	Caldilinea_aerophila_DSM_14535_NBRC_104270	Caldilinea aerophila DSM 14535 = NBRC 104270	Bacteria	Chloroflexi	Caldilinea	Caldilineae	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0
3859	Caldimicrobium_thiodismutans	Caldimicrobium thiodismutans	Bacteria	Thermodesulfobacteria	Caldimicrobium	Thermodesulfobacteriales	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
5685	Calothrix_rhizosoleniae_SC01	Calothrix rhizosoleniae SC01	Bacteria	Cyanobacteria	Calothrix	Nostocales	2	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0
1494	Calothrix_sp_PCC_6303	Calothrix sp. PCC 6303	Bacteria	Cyanobacteria	Calothrix	Nostocales	3	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0
