id	name	genus	phylum	kingdom	tax2	num_M	num_bchlD	num_bchlD_fs
1024	Thiomicrospira cyclica ALM1	Thiomicrospira	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1025	Desulfotomaculum ruminis DSM 2154	Desulfotomaculum	Firmicutes	Bacteria	Clostridia	0	0	0
1026	Isoptericola variabilis 225	Isoptericola	Actinobacteria	Bacteria	Micrococcales	0	0	0
1027	Ramlibacter tataouinensis TTB310	Ramlibacter	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
1028	Klebsiella aerogenes KCTC 2190	Klebsiella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1029	Haloplasma contractile SSD-17B	Haloplasma	Haloplasmatales	Bacteria	Haloplasmataceae	0	0	0
1030	Salinisphaera shabanensis E1L3A	Salinisphaera	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1031	Thermodesulfobacterium geofontis OPF15	Thermodesulfobacterium	Thermodesulfobacteria	Bacteria	Thermodesulfobacteriales	0	0	0
1032	Pyrococcus yayanosii CH1	Pyrococcus	Euryarchaeota	Archaea	Thermococci	1	1	0
1033	Buchnera aphidicola (Cinara tujafilina)	Buchnera	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1034	Vibrio anguillarum 775	Vibrio	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1035	Halopiger xanaduensis SH-6	Halopiger	Euryarchaeota	Archaea	Halobacteria	1	1	0
1036	Thermodesulfatator indicus DSM 15286	Thermodesulfatator	Thermodesulfobacteria	Bacteria	Thermodesulfobacteriales	1	1	0
1037	Pseudothermotoga thermarum DSM 5069	Pseudothermotoga	Thermotogae	Bacteria	Thermotogales	0	0	0
1038	Methanosalsum zhilinae DSM 4017	Methanosalsum	Euryarchaeota	Archaea	Methanomicrobia	0	0	0
1039	Prevotella multisaccharivorax DSM 17128	Prevotella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1040	Cellulomonas gilvus ATCC 13127	Cellulomonas	Actinobacteria	Bacteria	Micrococcales	0	0	0
1041	Oligotropha carboxidovorans OM5	Oligotropha	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1042	Flexistipes sinusarabici DSM 4947	Flexistipes	Deferribacteres	Bacteria	Deferribacterales	0	0	0
1043	Caldalkalibacillus thermarum TA2.A1	Caldalkalibacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1044	Zymomonas mobilis subsp. pomaceae ATCC 29192	Zymomonas	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1045	Runella slithyformis DSM 19594	Runella	Bacteroidetes	Bacteria	Cytophagia	0	0	0
1046	Myxococcus fulvus HW-1	Myxococcus	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
1048	Cupriavidus necator N-1	Cupriavidus	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
1049	Brevibacillus laterosporus LMG 15441	Brevibacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1050	Pseudomonas stutzeri	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1051	Treponema caldarium DSM 7334	Treponema	Spirochaetes	Bacteria	Spirochaetales	0	0	0
1052	Weissella koreensis KACC 15510	Weissella	Firmicutes	Bacteria	Bacilli	0	0	0
1053	Thermophagus xiamenensis	Thermophagus	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1054	Prevotella dentalis DSM 3688	Prevotella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1055	Prevotella nigrescens ATCC 33563	Prevotella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1056	Prevotella pallens ATCC 700821	Prevotella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1057	Sporosarcina newyorkensis 2681	Sporosarcina	Firmicutes	Bacteria	Bacilli	0	0	0
1058	Ochrovirga pacifica	Ochrovirga	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1059	Mesoflavibacter zeaxanthinifaciens S86	Mesoflavibacter	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1060	Capnocytophaga canimorsus Cc5	Capnocytophaga	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1061	Methanococcus maripaludis X1	Methanococcus	Euryarchaeota	Archaea	Methanococci	1	1	1
1062	Mycoplasma anatis 1340	Mycoplasma	Tenericutes	Bacteria	Mollicutes	0	0	0
1063	Borreliella bissettii DN127	Borreliella	Spirochaetes	Bacteria	Spirochaetales	0	0	0
1064	Cyclobacterium marinum DSM 745	Cyclobacterium	Bacteroidetes	Bacteria	Cytophagia	0	0	0
1065	Ketogulonicigenium vulgare WSH-001	Ketogulonicigenium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1066	Pyrolobus fumarii 1A	Pyrolobus	Crenarchaeota	Archaea	Thermoprotei	0	0	0
1067	Haloarcula hispanica ATCC 33960	Haloarcula	Euryarchaeota	Archaea	Halobacteria	1	1	0
1068	Thiocapsa marina 5811	Thiocapsa	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
1069	Marichromatium purpuratum 984	Marichromatium	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
1070	Thiorhodococcus drewsii AZ1	Thiorhodococcus	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
1071	Muricauda ruestringensis DSM 13258	Muricauda	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1072	Mycoplasma putrefaciens KS1	Mycoplasma	Tenericutes	Bacteria	Mollicutes	0	0	0
1073	Bizionia argentinensis JUB59	Bizionia	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1074	Serinicoccus profundi MCCC 1A05965	Serinicoccus	Actinobacteria	Bacteria	Micrococcales	0	0	0
1075	Lentibacillus jeotgali	Lentibacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1076	Lactobacillus ruminis ATCC 27782	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1077	Lactobacillus sanfranciscensis TMW 1.1304	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1078	Roseburia hominis A2-183	Roseburia	Firmicutes	Bacteria	Clostridia	0	0	0
1079	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1080	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1081	Streptomyces zinciresistens K42	Streptomyces	Actinobacteria	Bacteria	Streptomycetales	1	1	0
1082	Collinsella tanakaei YIT 12063	Collinsella	Actinobacteria	Bacteria	Coriobacteriia	0	0	0
1083	Brachybacterium squillarum M-6-3	Brachybacterium	Actinobacteria	Bacteria	Micrococcales	0	0	0
1084	Dietzia alimentaria 72	Dietzia	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1085	Chloracidobacterium thermophilum B	Chloracidobacterium	Acidobacteria	Bacteria	Blastocatellia	1	1	0
1086	Micavibrio aeruginosavorus ARL-13	Micavibrio	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1087	Glaciecola nitratireducens FR1064	Glaciecola	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1088	Taylorella asinigenitalis MCE3	Taylorella	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
1089	Neisseria shayeganii 871	Neisseria	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
1090	Halobiforma lacisalsi AJ5	Halobiforma	Euryarchaeota	Archaea	Halobacteria	1	1	0
1091	Acidithiobacillus thiooxidans ATCC 19377	Acidithiobacillus	Proteobacteria	Bacteria	Acidithiobacillia	0	0	0
1092	Peptoniphilus indolicus ATCC 29427	Peptoniphilus	Firmicutes	Bacteria	Tissierellia	0	0	0
1093	Mycoplasma iowae 695	Mycoplasma	Tenericutes	Bacteria	Mollicutes	0	0	0
1094	Thiomicrospira aerophila AL3	Thiomicrospira	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1095	Thioalkalivibrio paradoxus ARh 1	Thioalkalivibrio	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1096	Thermobacillus composti KWC4	Thermobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1097	Thiorhodospira sibirica ATCC 700588	Thiorhodospira	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
1098	Thiocystis violascens DSM 198	Thiocystis	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
1099	Neisseria wadsworthii 9715	Neisseria	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
1100	Acidaminococcus intestini RyC-MR95	Acidaminococcus	Firmicutes	Bacteria	Negativicutes	0	0	0
1101	Pelagibacterium halotolerans B2	Pelagibacterium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1102	Rhodanobacter denitrificans	Rhodanobacter	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1103	Natronobacterium gregoryi SP2	Natronobacterium	Euryarchaeota	Archaea	Halobacteria	1	1	0
1104	Natrinema pellirubrum DSM 15624	Natrinema	Euryarchaeota	Archaea	Halobacteria	1	1	0
1105	Mycobacterium rhodesiae NBB3	Mycobacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1106	Mycobacterium rhodesiae JS60	Mycobacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1107	Saccharomonospora paurometabolica YIM 90007	Saccharomonospora	Actinobacteria	Bacteria	Pseudonocardiales	0	0	0
1108	Saccharomonospora azurea NA-128	Saccharomonospora	Actinobacteria	Bacteria	Pseudonocardiales	1	1	0
1109	Alistipes indistinctus YIT 12060	Alistipes	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1110	Leucobacter chromiiresistens JG 31	Leucobacter	Actinobacteria	Bacteria	Micrococcales	0	0	0
1111	Desulfosporosinus meridiei DSM 13257	Desulfosporosinus	Firmicutes	Bacteria	Clostridia	0	0	0
1112	Desulfitobacterium metallireducens DSM 15288	Desulfitobacterium	Firmicutes	Bacteria	Clostridia	0	0	0
1113	Brachybacterium paraconglomeratum LC44	Brachybacterium	Actinobacteria	Bacteria	Micrococcales	0	0	0
1114	Desulfobacter postgatei 2ac9	Desulfobacter	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
1115	Desulfotomaculum gibsoniae DSM 7213	Desulfotomaculum	Firmicutes	Bacteria	Clostridia	1	1	0
1116	Thermovirga lienii DSM 17291	Thermovirga	Synergistetes	Bacteria	Synergistia	0	0	0
1117	Pseudoxanthomonas spadix BD-a59	Pseudoxanthomonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1118	Alloprevotella rava F0323	Alloprevotella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1119	Gluconobacter morbifer G707	Gluconobacter	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1120	Mycobacterium thermoresistibile ATCC 19527	Mycobacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1121	Fervidobacterium pennivorans DSM 9078	Fervidobacterium	Thermotogae	Bacteria	Thermotogales	0	0	0
1122	Johnsonella ignava ATCC 51276	Johnsonella	Firmicutes	Bacteria	Clostridia	0	0	0
1123	Hungatella hathewayi WAL-18680	Hungatella	Firmicutes	Bacteria	Clostridia	0	0	0
1124	Methanosaeta harundinacea 6Ac	Methanosaeta	Euryarchaeota	Archaea	Methanomicrobia	1	1	0
1125	Desulfosporosinus orientis DSM 765	Desulfosporosinus	Firmicutes	Bacteria	Clostridia	0	0	0
1126	Staphylococcus simiae CCM 7213	Staphylococcus	Firmicutes	Bacteria	Bacilli	0	0	0
1127	Methanolinea tarda NOBI-1	Methanolinea	Euryarchaeota	Archaea	Methanomicrobia	1	1	0
1128	Prevotella stercorea DSM 18206	Prevotella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1129	Halomonas boliviensis LC1	Halomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
1130	Fluoribacter dumoffii NY 23	Fluoribacter	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1131	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	Blattabacterium	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1132	Mesorhizobium alhagi CCNWXJ12-2	Mesorhizobium	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1133	Sphaerochaeta pleomorpha str. Grapes	Sphaerochaeta	Spirochaetes	Bacteria	Spirochaetales	0	0	0
1134	Owenweeksia hongkongensis DSM 17368	Owenweeksia	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1135	Senegalimassilia anaerobia JC110	Senegalimassilia	Actinobacteria	Bacteria	Coriobacteriia	0	0	0
1136	Pseudomonas fluorescens F113	Pseudomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	1
1137	Simkania negevensis Z	Simkania	Chlamydiae	Bacteria	Parachlamydiales	0	0	0
1138	Helicobacter bizzozeronii CIII-1	Helicobacter	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
1139	Jonquetella anthropi DSM 22815	Jonquetella	Synergistetes	Bacteria	Synergistia	0	0	0
1140	Thermanaerovibrio velox DSM 12556	Thermanaerovibrio	Synergistetes	Bacteria	Synergistia	0	0	0
1141	Haloquadratum walsbyi C23	Haloquadratum	Euryarchaeota	Archaea	Halobacteria	1	1	0
1142	Pediococcus claussenii ATCC BAA-344	Pediococcus	Firmicutes	Bacteria	Bacilli	0	0	0
1143	Oribacterium parvum ACB1	Oribacterium	Firmicutes	Bacteria	Clostridia	0	0	0
1144	Peptoanaerobacter stomatis	Peptoanaerobacter	Firmicutes	Bacteria	Clostridia	0	0	0
1145	Tannerella forsythia 92A2	Tannerella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1146	Pseudoalteromonas spongiae UST010723-006	Pseudoalteromonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1147	Pseudoalteromonas citrea DSM 8771	Pseudoalteromonas	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1148	Haemophilus sputorum CCUG 13788	Haemophilus	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1149	Arthrobacter globiformis NBRC 12137	Arthrobacter	Actinobacteria	Bacteria	Micrococcales	0	0	0
1150	Anaeroglobus geminatus F0357	Anaeroglobus	Firmicutes	Bacteria	Negativicutes	0	0	0
1151	Cardiobacterium valvarum F0432	Cardiobacterium	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1152	Actinomyces graevenitzii C83	Actinomyces	Actinobacteria	Bacteria	Actinomycetales	0	0	0
1153	Flavobacterium columnare ATCC 49512	Flavobacterium	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1154	Streptomyces cattleya NRRL 8057 = DSM 46488	Streptomyces	Actinobacteria	Bacteria	Streptomycetales	1	1	0
1155	Klebsiella pneumoniae subsp. pneumoniae HS11286	Klebsiella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1156	Patulibacter medicamentivorans	Patulibacter	Actinobacteria	Bacteria	Thermoleophilia	0	0	0
1157	Mycobacterium avium subsp. avium Env 77	Mycobacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1158	Oenococcus kitaharae DSM 17330	Oenococcus	Firmicutes	Bacteria	Bacilli	0	0	0
1159	Gordonia araii NBRC 100433	Gordonia	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1160	Gordonia effusa NBRC 100432	Gordonia	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1161	Gordonia amarae NBRC 15530	Gordonia	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1162	Sphingomonas echinoides ATCC 14820	Sphingomonas	Proteobacteria	Bacteria	Alphaproteobacteria	2	1	0
1163	Stomatobaculum longum	Stomatobaculum	Firmicutes	Bacteria	Clostridia	0	0	0
1164	Frateuria aurantia DSM 6220	Frateuria	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	1
1165	Dialister succinatiphilus YIT 11850	Dialister	Firmicutes	Bacteria	Negativicutes	1	1	0
1166	Singulisphaera acidiphila DSM 18658	Singulisphaera	Planctomycetes	Bacteria	Planctomycetia	1	1	0
1167	Spirochaeta africana DSM 8902	Spirochaeta	Spirochaetes	Bacteria	Spirochaetales	0	0	0
1168	Holophaga foetida DSM 6591	Holophaga	Acidobacteria	Bacteria	Holophagae	1	1	0
1169	Solitalea canadensis DSM 3403	Solitalea	Bacteroidetes	Bacteria	Sphingobacteriia	0	0	0
1170	Streptomyces acidiscabies 84-104	Streptomyces	Actinobacteria	Bacteria	Streptomycetales	1	1	0
1171	Sulfurimonas gotlandica GD1	Sulfurimonas	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
1172	Niabella soli DSM 19437	Niabella	Bacteroidetes	Bacteria	Chitinophagia	0	0	0
1173	Desulfitobacterium dichloroeliminans LMG P-21439	Desulfitobacterium	Firmicutes	Bacteria	Clostridia	0	0	0
1174	Desulfitobacterium dehalogenans ATCC 51507	Desulfitobacterium	Firmicutes	Bacteria	Clostridia	0	0	0
1175	Odoribacter laneus YIT 12061	Odoribacter	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1176	Gillisia limnaea DSM 15749	Gillisia	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1177	Methanoplanus limicola DSM 2279	Methanoplanus	Euryarchaeota	Archaea	Methanomicrobia	2	2	1
1178	Myroides odoratus DSM 2801	Myroides	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1179	Metallosphaera yellowstonensis MK1	Metallosphaera	Crenarchaeota	Archaea	Thermoprotei	0	0	0
1180	Leptonema illini DSM 21528	Leptonema	Spirochaetes	Bacteria	Leptospirales	0	0	0
1181	Saccharomonospora glauca K62	Saccharomonospora	Actinobacteria	Bacteria	Pseudonocardiales	0	0	0
1182	Methanotorris formicicus Mc-S-70	Methanotorris	Euryarchaeota	Archaea	Methanococci	1	1	1
1183	Leptospira kirschneri serovar Cynopteri str. 3522 CT	Leptospira	Spirochaetes	Bacteria	Leptospirales	0	0	0
1184	Leptospira broomii serovar Hurstbridge str. 5399	Leptospira	Spirochaetes	Bacteria	Leptospirales	0	0	0
1185	Leptospira kmetyi serovar Malaysia str. Bejo-Iso9	Leptospira	Spirochaetes	Bacteria	Leptospirales	0	0	0
1186	Leptospira alexanderi serovar Manhao 3 str. L 60	Leptospira	Spirochaetes	Bacteria	Leptospirales	0	0	0
1187	Leptospira licerasiae serovar Varillal str. VAR 010	Leptospira	Spirochaetes	Bacteria	Leptospirales	0	0	0
1188	Leptospira weilii serovar Topaz str. LT2116	Leptospira	Spirochaetes	Bacteria	Leptospirales	0	0	0
1189	Desulfosporosinus youngiae DSM 17734	Desulfosporosinus	Firmicutes	Bacteria	Clostridia	0	0	0
1190	Saccharomonospora marina XMU15	Saccharomonospora	Actinobacteria	Bacteria	Pseudonocardiales	1	1	0
1191	Saccharomonospora cyanea NA-134	Saccharomonospora	Actinobacteria	Bacteria	Pseudonocardiales	0	0	0
1192	Beggiatoa alba B18LD	Beggiatoa	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1193	Paenibacillus dendritiformis C454	Paenibacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1194	Helcococcus kunzii ATCC 51366	Helcococcus	Firmicutes	Bacteria	Tissierellia	0	0	0
1195	Megamonas funiformis YIT 11815	Megamonas	Firmicutes	Bacteria	Negativicutes	0	0	0
1196	Facklamia languida CCUG 37842	Facklamia	Firmicutes	Bacteria	Bacilli	0	0	0
1197	Dolosigranulum pigrum ATCC 51524	Dolosigranulum	Firmicutes	Bacteria	Bacilli	0	0	0
1198	Niastella koreensis GR20-10	Niastella	Bacteroidetes	Bacteria	Chitinophagia	0	0	0
1199	Clostridium arbusti SL206	Clostridium	Firmicutes	Bacteria	Clostridia	0	0	0
1200	Peptoniphilus rhinitidis 1-13	Peptoniphilus	Firmicutes	Bacteria	Tissierellia	0	0	0
1201	Myroides injenensis M09-0166	Myroides	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1202	Thermococcus litoralis DSM 5473	Thermococcus	Euryarchaeota	Archaea	Thermococci	0	0	0
1203	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Wigglesworthia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1204	Acetobacterium woodii DSM 1030	Acetobacterium	Firmicutes	Bacteria	Clostridia	1	1	0
1205	Gordonia polyisoprenivorans VH2	Gordonia	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1206	Mobilicoccus pelagius NBRC 104925	Mobilicoccus	Actinobacteria	Bacteria	Micrococcales	1	1	0
1207	Atlantibacter hermannii NBRC 105704	Atlantibacter	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1208	Gordonia sputi NBRC 100414	Gordonia	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1209	Lactobacillus mucosae LM1	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1210	Saprospira grandis str. Lewin	Saprospira	Bacteroidetes	Bacteria	Saprospiria	0	0	0
1211	Paenibacillus mucilaginosus 3016	Paenibacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1212	Nocardia brasiliensis ATCC 700358	Nocardia	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
1213	Sutterella parvirubra YIT 11816	Sutterella	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
1214	Methanocella conradii HZ254	Methanocella	Euryarchaeota	Archaea	Methanomicrobia	1	1	1
1215	Glaciecola punicea ACAM 611	Glaciecola	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1216	Deinococcus gobiensis I-0	Deinococcus	Deinococcus-Thermus	Bacteria	Deinococci	1	1	0
1217	Listeria fleischmannii subsp. coloradonensis	Listeria	Firmicutes	Bacteria	Bacilli	0	0	0
1218	Riemerella anatipestifer ATCC 11845 = DSM 15868	Riemerella	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1219	Bartonella clarridgeiae 73	Bartonella	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1220	Parachlamydia acanthamoebae UV-7	Parachlamydia	Chlamydiae	Bacteria	Parachlamydiales	0	0	0
1221	Flavobacterium branchiophilum FL-15	Flavobacterium	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1222	Streptococcus thermophilus JIM 8232	Streptococcus	Firmicutes	Bacteria	Bacilli	0	0	0
1223	Desulfosporosinus acidiphilus SJ4	Desulfosporosinus	Firmicutes	Bacteria	Clostridia	0	0	0
1224	Marinitoga piezophila KA3	Marinitoga	Thermotogae	Bacteria	Petrotogales	0	0	0
1225	Corallococcus coralloides DSM 2259	Corallococcus	Proteobacteria	Bacteria	Deltaproteobacteria	0	0	0
1226	Rickettsia helvetica C9P9	Rickettsia	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1227	Aquimarina agarilytica ZC1	Aquimarina	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1228	Lactobacillus vini DSM 20605	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
1229	Rahnella aquatilis HX2	Rahnella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1230	Treponema saccharophilum DSM 2985	Treponema	Spirochaetes	Bacteria	Spirochaetales	0	0	0
1231	Schlesneria paludicola DSM 18645	Schlesneria	Planctomycetes	Bacteria	Planctomycetia	0	0	0
1232	Zavarzinella formosa DSM 19928	Zavarzinella	Planctomycetes	Bacteria	Planctomycetia	0	0	0
1233	Diplorickettsia massiliensis 20B	Diplorickettsia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1234	Saccharomonospora xinjiangensis XJ-54	Saccharomonospora	Actinobacteria	Bacteria	Pseudonocardiales	0	0	0
1235	Ignavibacterium album JCM 16511	Ignavibacterium	Ignavibacteriae	Bacteria	Ignavibacteria	0	0	0
1236	Pedobacter agri PB92	Pedobacter	Bacteroidetes	Bacteria	Sphingobacteriia	0	0	0
1237	Thermococcus zilligii AN1	Thermococcus	Euryarchaeota	Archaea	Thermococci	1	1	1
1238	Gillisia marina	Gillisia	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1239	Marinilabilia salmonicolor JCM 21150	Marinilabilia	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1240	Providencia stuartii MRSN 2154	Providencia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1241	Helicobacter cetorum MIT 00-7128	Helicobacter	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
1242	Helicobacter cetorum MIT 99-5656	Helicobacter	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
1243	Joostella marina DSM 19592	Joostella	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1244	Thiothrix nivea DSM 5205	Thiothrix	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1245	Imtechella halotolerans K1	Imtechella	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1246	Methylophaga frappieri	Methylophaga	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1247	Methylophaga nitratireducenticrescens	Methylophaga	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1248	Ensifer sojae CCBAU 05684	Ensifer	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1249	Fusobacterium necrophorum subsp. funduliforme ATCC 51357	Fusobacterium	Fusobacteria	Bacteria	Fusobacteriales	1	1	0
1250	Pasteurella bettyae CCUG 2042	Pasteurella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1251	Shimwellia blattae DSM 4481 = NBRC 105725	Shimwellia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1252	Microvirga lotononidis	Microvirga	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1253	Prevotella bivia DSM 20514	Prevotella	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1254	Rhodanobacter spathiphylli B39	Rhodanobacter	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1255	Rhodanobacter fulvus Jip2	Rhodanobacter	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1256	Tistrella mobilis KA081020-065	Tistrella	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
1257	Thermogladius calderae 1633	Thermogladius	Crenarchaeota	Archaea	Thermoprotei	0	0	0
1258	Edwardsiella anguillarum ET080813	Edwardsiella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
1259	Nitritalea halalkaliphila LW7	Nitritalea	Bacteroidetes	Bacteria	Cytophagia	0	0	0
1260	Halomonas smyrnensis AAD6	Halomonas	Proteobacteria	Bacteria	Gammaproteobacteria	1	1	0
1261	Sulfurospirillum barnesii SES-3	Sulfurospirillum	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
1262	Alistipes finegoldii DSM 17242	Alistipes	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
1263	Aequorivita sublithincola DSM 14238	Aequorivita	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1264	Belliella baltica DSM 15883	Belliella	Bacteroidetes	Bacteria	Cytophagia	0	0	0
1265	Terriglobus roseus DSM 18391	Terriglobus	Acidobacteria	Bacteria	Acidobacteriales	0	0	0
1266	Ornithobacterium rhinotracheale DSM 15997	Ornithobacterium	Bacteroidetes	Bacteria	Flavobacteriia	0	0	0
1267	Bernardetia litoralis DSM 6794	Bernardetia	Bacteroidetes	Bacteria	Cytophagia	0	0	0
1268	Thermococcus cleftensis	Thermococcus	Euryarchaeota	Archaea	Thermococci	0	0	0
1269	Turneriella parva DSM 21527	Turneriella	Spirochaetes	Bacteria	Leptospirales	0	0	0
1270	Mycobacterium chubuense NBB4	Mycobacterium	Actinobacteria	Bacteria	Corynebacteriales	1	1	0
