id	name	genus	phylum	kingdom	tax2	num_M	num_bchlD	num_bchlD_fs
141	Idiomarina loihiensis L2TR	Idiomarina	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
142	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	Legionella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
143	[Bacillus thuringiensis] serovar konkukian str. 97-27	Bacillus	Firmicutes	Bacteria	Bacilli	0	0	0
144	Helicobacter pylori 26695	Helicobacter	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
145	Thermotoga maritima MSB8	Thermotoga	Thermotogae	Bacteria	Thermotogales	0	0	0
146	Deinococcus radiodurans R1	Deinococcus	Deinococcus-Thermus	Bacteria	Deinococci	0	0	0
147	Aquifex aeolicus VF5	Aquifex	Aquificae	Bacteria	Aquificales	0	0	0
148	Methanothermobacter thermautotrophicus str. Delta H	Methanothermobacter	Euryarchaeota	Archaea	Methanobacteria	1	1	0
149	Archaeoglobus fulgidus DSM 4304	Archaeoglobus	Euryarchaeota	Archaea	Archaeoglobi	0	0	0
150	Chlamydia trachomatis D/UW-3/CX	Chlamydia	Chlamydiae	Bacteria	Chlamydiales	0	0	0
151	Clostridium acetobutylicum ATCC 824	Clostridium	Firmicutes	Bacteria	Clostridia	0	0	0
152	Neisseria meningitidis MC58	Neisseria	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
153	Escherichia coli O157:H7 str. Sakai	Escherichia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
154	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
155	Lactobacillus salivarius UCC118	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
156	Francisella tularensis subsp. tularensis SCHU S4	Francisella	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
157	Bacillus subtilis subsp. subtilis str. 168	Bacillus	Firmicutes	Bacteria	Bacilli	0	0	0
158	Yersinia pestis CO92	Yersinia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
159	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Campylobacter	Proteobacteria	Bacteria	Epsilonproteobacteria	0	0	0
160	Ralstonia solanacearum GMI1000	Ralstonia	Proteobacteria	Bacteria	Betaproteobacteria	1	1	0
161	Nitrosomonas europaea ATCC 19718	Nitrosomonas	Proteobacteria	Bacteria	Betaproteobacteria	0	0	0
162	Clostridioides difficile 630	Clostridioides	Firmicutes	Bacteria	Clostridia	0	0	0
163	Yersinia enterocolitica subsp. enterocolitica 8081	Yersinia	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
164	Alcanivorax borkumensis SK2	Alcanivorax	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
165	Streptococcus uberis 0140J	Streptococcus	Firmicutes	Bacteria	Bacilli	0	0	0
166	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera	Proteobacteria	Bacteria	Gammaproteobacteria	0	0	0
167	Streptomyces avermitilis MA-4680 = NBRC 14893	Streptomyces	Actinobacteria	Bacteria	Streptomycetales	1	1	0
168	Bacillus clausii KSM-K16	Bacillus	Firmicutes	Bacteria	Bacilli	0	0	0
169	Staphylococcus haemolyticus JCSC1435	Staphylococcus	Firmicutes	Bacteria	Bacilli	0	0	0
171	Bacteroides fragilis YCH46	Bacteroides	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
172	Chlamydia felis Fe/C-56	Chlamydia	Chlamydiae	Bacteria	Chlamydiales	0	0	0
173	Thermococcus kodakarensis KOD1	Thermococcus	Euryarchaeota	Archaea	Thermococci	0	0	0
174	Magnetospirillum magneticum AMB-1	Magnetospirillum	Proteobacteria	Bacteria	Alphaproteobacteria	0	0	0
175	Synechococcus elongatus PCC 6301	Synechococcus	Cyanobacteria	Bacteria	Synechococcales	1	1	0
176	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Staphylococcus	Firmicutes	Bacteria	Bacilli	0	0	0
177	Lactobacillus fermentum IFO 3956	Lactobacillus	Firmicutes	Bacteria	Bacilli	0	0	0
178	Brevibacillus brevis NBRC 100599	Brevibacillus	Firmicutes	Bacteria	Bacilli	0	0	0
179	Finegoldia magna ATCC 29328	Finegoldia	Firmicutes	Bacteria	Tissierellia	0	0	0
180	Kocuria rhizophila DC2201	Kocuria	Actinobacteria	Bacteria	Micrococcales	0	0	0
181	Gemmatimonas aurantiaca T-27	Gemmatimonas	Gemmatimonadetes	Bacteria	Gemmatimonadales	0	0	0
182	Bifidobacterium adolescentis ATCC 15703	Bifidobacterium	Actinobacteria	Bacteria	Bifidobacteriales	0	0	0
183	Porphyromonas gingivalis ATCC 33277	Porphyromonas	Bacteroidetes	Bacteria	Bacteroidia	0	0	0
